marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,6288,10007,2024-02-02
RENAULT,KWID,6046,9142,2024-02-02
VW,GOL,4,12,2024-02-02
FIAT,UNO,1,3,2024-02-02
FIAT,PALIO,0,1,2024-02-02
VW,POLO,8063,15321,2024-02-02
HYUNDAI,HB20,5287,12765,2024-02-02
FIAT,ARGO,6507,11203,2024-02-02
GM,ONIX,4299,10013,2024-02-02
TOYOTA,YARIS_HB,1841,3844,2024-02-02
BYD,DOLPHIN,1807,3626,2024-02-02
CITROEN,C3,1515,3394,2024-02-02
PEUGEOT,208,1548,3373,2024-02-02
HONDA,CITY_HATCH,775,1569,2024-02-02
GWM,ORA_03,588,1284,2024-02-02
RENAULT,SANDERO,398,837,2024-02-02
JAC,E-JS1,140,251,2024-02-02
GM,CRUZE_HB,60,95,2024-02-02
AUDI,A3,23,46,2024-02-02
HONDA,CIVIC_TYPE-R,9,22,2024-02-02
TOYOTA,COROLLA_GR,2,9,2024-02-02
MBENZ,A45_AMG,4,6,2024-02-02
MBENZ,CLASSE_A,1,4,2024-02-02
FIAT,CRONOS,1657,4583,2024-02-02
HYUNDAI,HB20S,2205,3907,2024-02-02
RENAULT,LOGAN,209,281,2024-02-02
GM,PRISMA,0,1,2024-02-02
GM,ONIX_PLUS,3259,6818,2024-02-02
VW,VIRTUS,2538,4910,2024-02-02
TOYOTA,YARIS_SEDAN,1436,3121,2024-02-02
HONDA,CITY,914,1841,2024-02-02
NISSAN,VERSA,888,1826,2024-02-02
VW,POLO_SEDAN,0,1,2024-02-02
TOYOTA,COROLLA,2501,4643,2024-02-02
BYD,SEAL,455,1066,2024-02-02
NISSAN,SENTRA,356,664,2024-02-02
VW,JETTA,277,501,2024-02-02
GM,CRUZE_SEDAN,193,297,2024-02-02
HONDA,CIVIC,78,229,2024-02-02
AUDI,A3_SEDAN,22,78,2024-02-02
AUDI,A5,20,37,2024-02-02
MBENZ,CLA200,22,22,2024-02-02
BMW,420I,12,21,2024-02-02
CAOA_CHERY,ARRIZO_6,1,17,2024-02-02
MBENZ,CLA45,7,9,2024-02-02
MBENZ,CLA35,3,7,2024-02-02
BMW,218I,3,4,2024-02-02
HYUNDAI,IONIQ,0,3,2024-02-02
JAC,E-J7,0,3,2024-02-02
HYUNDAI,ELANTRA,0,1,2024-02-02
ROLLS_ROYCE,ROLLS_ROYCE,1,1,2024-02-02
VW,SANTANA,0,1,2024-02-02
BMW,320I,252,489,2024-02-02
MBENZ,CLASSE_C,43,100,2024-02-02
MBENZ,CLA200,19,68,2024-02-02
BMW,330E,42,66,2024-02-02
HONDA,ACCORD,17,56,2024-02-02
PORSCHE,PANAMERA,27,52,2024-02-02
BYD,HAN,6,25,2024-02-02
LEXUS,ES300,7,22,2024-02-02
AUDI,A4,6,15,2024-02-02
BMW,I4,7,13,2024-02-02
TOYOTA,CAMRY,5,11,2024-02-02
BMW,I5,6,6,2024-02-02
VW,SPACE_FOX,1,1,2024-02-02
AUDI,RS6_AVANT,7,13,2024-02-02
VW,QUANTUM,0,1,2024-02-02
FIAT,DOBLO,0,1,2024-02-02
GM,SPIN,755,1856,2024-02-02
CHRYSLER,PACIFICA,6,7,2024-02-02
TOYOTA,SIENNA,3,7,2024-02-02
KIA,CARNIVAL,2,2,2024-02-02
PORSCHE,911,157,237,2024-02-02
PORSCHE,BOXSTER,84,126,2024-02-02
PORSCHE,CAYMAN,30,44,2024-02-02
GM,CAMARO,16,38,2024-02-02
BMW,M3,24,32,2024-02-02
PORSCHE,TAYCAN,9,31,2024-02-02
FORD,MUSTANG,15,30,2024-02-02
BMW,M2,25,25,2024-02-02
GM,CORVETTE,8,17,2024-02-02
HYUNDAI,CRETA,4385,9283,2024-02-02
NISSAN,KICKS,3907,7981,2024-02-02
GM,TRACKER,3674,7954,2024-02-02
JEEP,COMPASS,4074,7665,2024-02-02
VW,T_CROSS,4039,7397,2024-02-02
FIAT,FASTBACK,3594,6886,2024-02-02
VW,NIVUS,3250,6788,2024-02-02
JEEP,RENEGADE,3502,6521,2024-02-02
HONDA,HR-V,3221,6051,2024-02-02
TOYOTA,COROLLA_CROSS,2878,5962,2024-02-02
FIAT,PULSE,2652,5485,2024-02-02
CAOA_CHERY,TIGGO_5X,1991,3970,2024-02-02
BYD,SONG_PLUS,1901,3421,2024-02-02
RENAULT,DUSTER,1556,3338,2024-02-02
GWM,HAVAL_H6,1127,2746,2024-02-02
TOYOTA,HILUX_SW4,1085,2478,2024-02-02
JEEP,COMMANDER,1075,2191,2024-02-02
VW,TAOS,1068,2162,2024-02-02
CAOA_CHERY,TIGGO_8,807,1681,2024-02-02
CAOA_CHERY,TIGGO_7,522,1109,2024-02-02
MITSUBISHI,ECLIPSE_CROSS,562,1065,2024-02-02
FORD,TERRITORY,545,1055,2024-02-02
HONDA,ZR-V,390,786,2024-02-02
BMW,X1,384,617,2024-02-02
VW,TIGUAN,279,564,2024-02-02
BYD,YUAN_PLUS,226,500,2024-02-02
VOLVO,XC60,166,451,2024-02-02
GM,EQUINOX,193,382,2024-02-02
FORD,BRONCO,203,360,2024-02-02
CITROEN,C4_CACTUS,154,347,2024-02-02
PEUGEOT,E2008,62,331,2024-02-02
TOYOTA,RAV4,206,325,2024-02-02
AUDI,Q3,175,318,2024-02-02
LAND_ROVER,DISCOVERY,157,291,2024-02-02
MITSUBISHI,PAJERO,135,278,2024-02-02
VOLVO,XC40,81,273,2024-02-02
AUDI,Q5,145,267,2024-02-02
CITROEN,C3_AIRCROSS,204,223,2024-02-02
KIA,SPORTAGE,88,210,2024-02-02
MBENZ,GLC,108,195,2024-02-02
