marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,4208,4208,2023-01-2
VW,GOL,3387,3387,2023-01-2
RENAULT,KWID,3307,3307,2023-01-2
VW,FUSCA,7,7,2023-01-2
FIAT,UNO,6,6,2023-01-2
VW,UP,3,3,2023-01-2
FIAT,PALIO,1,1,2023-01-2
GM,CHEVETTE,1,1,2023-01-2
TOYOTA,ETIOS_HB,0,0,2023-01-2
GM,ONIX,7162,7162,2023-01-2
HYUNDAI,HB20,4840,4840,2023-01-2
FIAT,ARGO,4282,4282,2023-01-2
VW,POLO,2115,2115,2023-01-2
TOYOTA,YARIS_HB,2072,2072,2023-01-2
CITROEN,C3,1488,1488,2023-01-2
HONDA,CITY_HATCH,1442,1442,2023-01-2
PEUGEOT,208,1201,1201,2023-01-2
RENAULT,SANDERO,488,488,2023-01-2
MINI,COOPER,49,49,2023-01-2
JAC,E-JS1,23,23,2023-01-2
FIAT,500E,8,8,2023-01-2
NISSAN,LEAF,80,80,2023-01-2
AUDI,A3,32,32,2023-01-2
GM,CRUZE_HB,25,25,2023-01-2
BMW,I3,9,9,2023-01-2
BMW,118i,5,5,2023-01-2
MBENZ,A45_AMG,2,2,2023-01-2
FIAT,CRONOS,2481,2481,2023-01-2
VW,VOYAGE,2004,2004,2023-01-2
HYUNDAI,HB20S,1684,1684,2023-01-2
RENAULT,LOGAN,286,286,2023-01-2
FIAT,SIENA,7,7,2023-01-2
GM,CLASSIC,1,1,2023-01-2
FORD,KA_SEDAN,0,0,2023-01-2
NISSAN,VERSA,0,0,2023-01-2
GM,ONIX_PLUS,6164,6164,2023-01-2
TOYOTA,YARIS_SEDAN,1099,1099,2023-01-2
HONDA,CITY,1091,1091,2023-01-2
VW,VIRTUS,490,490,2023-01-2
NISSAN,VERSA,313,313,2023-01-2
FORD,CORCEL_II,1,1,2023-01-2
TOYOTA,COROLLA,2238,2238,2023-01-2
GM,CRUZE_SEDAN,86,86,2023-01-2
CAOA_CHERY,ARRIZO_6,61,61,2023-01-2
AUDI,A3_SEDAN,46,46,2023-01-2
AUDI,A5,44,44,2023-01-2
HONDA,CIVIC,42,42,2023-01-2
BMW,420I,16,16,2023-01-2
MBENZ,CLA45,16,16,2023-01-2
VW,JETTA,15,15,2023-01-2
BMW,218I,9,9,2023-01-2
MBENZ,CLA35,8,8,2023-01-2
KIA,CERATO,5,5,2023-01-2
NISSAN,SENTRA,5,5,2023-01-2
JAC,E-J7,4,4,2023-01-2
BMW,M440I,0,0,2023-01-2
GM,IMPALA,0,0,2023-01-2
MBENZ,CLASSE_A,0,0,2023-01-2
BMW,320I,254,254,2023-01-2
MBENZ,CLASSE_C,108,108,2023-01-2
BMW,330E,77,77,2023-01-2
AUDI,A4,28,28,2023-01-2
MBENZ,CLA250,27,27,2023-01-2
PORSCHE,PANAMERA,20,20,2023-01-2
BYD,HAN,17,17,2023-01-2
BMW,I4,11,11,2023-01-2
BMW,530E,4,4,2023-01-2
TOYOTA,CAMRY,4,4,2023-01-2
TESLA,MODEL_3,4,4,2023-01-2
LEXUS,ES300,3,3,2023-01-2
VW,SPACE_FOX,1,1,2023-01-2
AUDI,RS6_AVANT,1,1,2023-01-2
GM,BOLT,4,4,2023-01-2
GM,SPIN,1415,1415,2023-01-2
KIA,CARNIVAL,10,10,2023-01-2
CHRYSLER,GCARAVAN,1,1,2023-01-2
BYD,D1,1,1,2023-01-2
PORSCHE,911,79,79,2023-01-2
BMW,M3,33,33,2023-01-2
FORD,MUSTANG,26,26,2023-01-2
PORSCHE,TAYCAN,20,20,2023-01-2
JAGUAR,F-TYPE,10,10,2023-01-2
PORSCHE,CAYMAN,10,10,2023-01-2
GM,CORVETTE,6,6,2023-01-2
GM,CAMARO,4,4,2023-01-2
FERRARI,F8_SPIDER,2,2,2023-01-2
GM,TRACKER,5296,5296,2023-01-2
HYUNDAI,CRETA,4969,4969,2023-01-2
VW,T_CROSS,4454,4454,2023-01-2
JEEP,COMPASS,4139,4139,2023-01-2
VW,NIVUS,3100,3100,2023-01-2
JEEP,RENEGADE,3049,3049,2023-01-2
FIAT,PULSE,3015,3015,2023-01-2
NISSAN,KICKS,2984,2984,2023-01-2
FIAT,FASTBACK,2707,2707,2023-01-2
TOYOTA,COROLLA_CROSS,2604,2604,2023-01-2
RENAULT,DUSTER,1495,1495,2023-01-2
JEEP,COMMANDER,1289,1289,2023-01-2
VW,TAOS,1184,1184,2023-01-2
TOYOTA,HILUX_SW4,937,937,2023-01-2
HONDA,HR-V,698,698,2023-01-2
CAOA_CHERY,TIGGO_8,588,588,2023-01-2
VOLVO,XC60,578,578,2023-01-2
CAOA_CHERY,TIGGO_7,372,372,2023-01-2
GM,EQUINOX,316,316,2023-01-2
CAOA_CHERY,TIGGO_5X,293,293,2023-01-2
CITROEN,C4_CACTUS,253,253,2023-01-2
MITSUBISHI,ECLIPSE_CROSS,215,215,2023-01-2
PEUGEOT,2008,158,158,2023-01-2
VOLVO,XC40,156,156,2023-01-2
MITSUBISHI,PAJERO,138,138,2023-01-2
BMW,X3,119,119,2023-01-2
AUDI,Q5,100,100,2023-01-2
KIA,STONIC,88,88,2023-01-2
MBENZ,CLASSE_GLA,85,85,2023-01-2
PORSCHE,MACAN,85,85,2023-01-2
KIA,SPORTAGE,80,80,2023-01-2
MBENZ,CLASSE_GLB,80,80,2023-01-2
PORSCHE,CAYENNE,80,80,2023-01-2
AUDI,Q3,79,79,2023-01-2
BYD,YUAN_PLUS,79,79,2023-01-2
BMW,X6,74,74,2023-01-2
MINI,COOPER_COUNTRYMAN,74,74,2023-01-2
GM,TRAILBLAZER,71,71,2023-01-2
BMW,X5,69,69,2023-01-2
MBENZ,GLE,67,67,2023-01-2
