marca,modelo,emplacados,acumulado_anual,data
FIAT,147,0,2,2023-12-2
VW,POLO,10197,93246,2023-12-2
GM,ONIX,9802,91204,2023-12-2
HYUNDAI,HB20,10057,79278,2023-12-2
FIAT,ARGO,5335,61500,2023-12-2
PEUGEOT,208,2910,25994,2023-12-2
CITROEN,C3,3307,24559,2023-12-2
TOYOTA,YARIS_HB,1405,20577,2023-12-2
HONDA,CITY_HATCH,662,9989,2023-12-2
RENAULT,SANDERO,524,7102,2023-12-2
BYD,DOLPHIN,1694,4561,2023-12-2
MINI,COOPER,90,722,2023-12-2
JAC,E-JS1,43,415,2023-12-2
GM,CRUZE_HB,40,380,2023-12-2
AUDI,A3,38,362,2023-12-2
NISSAN,LEAF,0,219,2023-12-2
TOYOTA,COROLLA_GR,7,61,2023-12-2
MBENZ,CLASSE_A,3,57,2023-12-2
HONDA,CIVIC_TYPE-R,2,47,2023-12-2
FIAT,CRONOS,5572,44423,2023-12-2
HYUNDAI,HB20S,3345,27246,2023-12-2
RENAULT,LOGAN,350,4144,2023-12-2
VW,VOYAGE,0,2074,2023-12-2
FIAT,SIENA,2,23,2023-12-2
GM,PRISMA,1,4,2023-12-2
TOYOTA,ETIOS_SEDAN,0,4,2023-12-2
FORD,KA_SEDAN,0,3,2023-12-2
CAOA_CHERY,CELER_SEDAN,0,2,2023-12-2
DODGE,CHARGER,0,1,2023-12-2
GM,ONIX_PLUS,5423,68516,2023-12-2
VW,VIRTUS,2431,23465,2023-12-2
TOYOTA,YARIS_SEDAN,1734,17870,2023-12-2
HONDA,CITY,887,10911,2023-12-2
NISSAN,VERSA,772,7834,2023-12-2
FORD,CORCEL,0,10,2023-12-2
TOYOTA,COROLLA,3571,38876,2023-12-2
NISSAN,SENTRA,326,3762,2023-12-2
VW,JETTA,280,1952,2023-12-2
GM,CRUZE_SEDAN,106,1103,2023-12-2
CAOA_CHERY,ARRIZO_6,54,950,2023-12-2
AUDI,A3_SEDAN,33,598,2023-12-2
AUDI,A5,57,517,2023-12-2
HONDA,CIVIC,13,456,2023-12-2
HYUNDAI,IONIQ,31,259,2023-12-2
BYD,SEAL,81,183,2023-12-2
BMW,420I,19,109,2023-12-2
JAC,E-J7,4,82,2023-12-2
MBENZ,CLA45,0,81,2023-12-2
BMW,218I,1,66,2023-12-2
MBENZ,CLA35,13,59,2023-12-2
KIA,CERATO,0,16,2023-12-2
TESLA,MODEL_3,0,16,2023-12-2
MBENZ,CLASSE_A,0,6,2023-12-2
GM,IMPALA,0,2,2023-12-2
VW,SANTANA,0,2,2023-12-2
BMW,430I,1,1,2023-12-2
BMW,320I,256,3984,2023-12-2
MBENZ,CLASSE_C,12,665,2023-12-2
BMW,330E,20,553,2023-12-2
PORSCHE,PANAMERA,78,453,2023-12-2
AUDI,A4,25,296,2023-12-2
MBENZ,CLA250,1,222,2023-12-2
BMW,I4,15,146,2023-12-2
BMW,530E,9,87,2023-12-2
LEXUS,ES300,6,72,2023-12-2
BYD,HAN,2,72,2023-12-2
HONDA,ACCORD,10,52,2023-12-2
AUDI,E_TRON_GT,0,42,2023-12-2
VW,PARATI,0,2,2023-12-2
VW,SPACE_FOX,0,1,2023-12-2
AUDI,RS6_AVANT,4,36,2023-12-2
VW,QUANTUM,2,3,2023-12-2
GM,CARAVAN,0,1,2023-12-2
GM,BOLT,0,44,2023-12-2
FIAT,DOBLO,0,3,2023-12-2
HONDA,FIT,0,3,2023-12-2
NISSAN,LIVINA,0,1,2023-12-2
RENAULT,KANGOO,0,1,2023-12-2
GM,SPIN,1630,18500,2023-12-2
BYD,D1,0,318,2023-12-2
KIA,CARNIVAL,1,24,2023-12-2
CHRYSLER,PACIFICA,1,16,2023-12-2
PORSCHE,911,108,939,2023-12-2
FORD,MUSTANG,24,344,2023-12-2
PORSCHE,TAYCAN,32,279,2023-12-2
PORSCHE,BOXSTER,26,269,2023-12-2
BMW,M3,17,259,2023-12-2
PORSCHE,CAYMAN,20,204,2023-12-2
JAGUAR,F-TYPE,10,93,2023-12-2
GM,CORVETTE,5,64,2023-12-2
BMW,M2,27,46,2023-12-2
VW,T_CROSS,6525,64650,2023-12-2
GM,TRACKER,5899,59877,2023-12-2
HYUNDAI,CRETA,6989,57240,2023-12-2
JEEP,COMPASS,5751,55171,2023-12-2
VW,NIVUS,4421,46457,2023-12-2
NISSAN,KICKS,4189,45958,2023-12-2
JEEP,RENEGADE,4236,44157,2023-12-2
HONDA,HR-V,3924,43853,2023-12-2
FIAT,PULSE,4719,41271,2023-12-2
TOYOTA,COROLLA_CROSS,2648,37681,2023-12-2
FIAT,FASTBACK,3709,36455,2023-12-2
RENAULT,DUSTER,3295,23331,2023-12-2
JEEP,COMMANDER,1736,18690,2023-12-2
VW,TAOS,1863,14225,2023-12-2
TOYOTA,HILUX_SW4,1544,14084,2023-12-2
CAOA_CHERY,TIGGO_5X,2433,12175,2023-12-2
GWM,HAVAL_H6,1295,8619,2023-12-2
CAOA_CHERY,TIGGO_8,1057,8390,2023-12-2
BYD,SONG_PLUS,1523,5787,2023-12-2
CAOA_CHERY,TIGGO_7,600,5673,2023-12-2
VOLVO,XC60,228,3837,2023-12-2
GM,EQUINOX,350,3707,2023-12-2
BMW,X1,382,3543,2023-12-2
CITROEN,C4_CACTUS,232,3414,2023-12-2
MITSUBISHI,ECLIPSE_CROSS,539,3334,2023-12-2
AUDI,Q5,193,1858,2023-12-2
MITSUBISHI,PAJERO,163,1830,2023-12-2
PEUGEOT,2008,109,1614,2023-12-2
GM,TRAILBLAZER,137,1570,2023-12-2
AUDI,Q3,204,1486,2023-12-2
VOLVO,XC40,207,1486,2023-12-2
LAND_ROVER,DISCOVERY,120,1471,2023-12-2
PORSCHE,CAYENNE,35,1430,2023-12-2
BYD,YUAN_PLUS,286,1281,2023-12-2
PORSCHE,MACAN,98,1205,2023-12-2
FORD,TERRITORY,43,1125,2023-12-2
VOLVO,XC90,130,1069,2023-12-2
BMW,X4,148,1050,2023-12-2
BMW,X5,177,1040,2023-12-2
FORD,BRONCO,170,1017,2023-12-2
FIAT,MOBI,7395,73428,2023-12-2
RENAULT,KWID,8104,63316,2023-12-2
VW,GOL,8,6165,2023-12-2
FIAT,UNO,5,37,2023-12-2
FIAT,PALIO,0,7,2023-12-2
VW,UP,0,6,2023-12-2
TOYOTA,ETIOS_HB,0,1,2023-12-2
VW,POLO,17999,111242,2023-12-2
GM,ONIX,10839,102043,2023-12-2
HYUNDAI,HB20,9627,88905,2023-12-2
FIAT,ARGO,5218,66717,2023-12-2
PEUGEOT,208,2636,28629,2023-12-2
CITROEN,C3,2020,26578,2023-12-2
TOYOTA,YARIS_HB,2762,23339,2023-12-2
HONDA,CITY_HATCH,813,10802,2023-12-2
RENAULT,SANDERO,758,7860,2023-12-2
BYD,DOLPHIN,2248,6806,2023-12-2
MINI,COOPER,66,788,2023-12-2
GWM,ORA_03,711,775,2023-12-2
GM,CRUZE_HB,52,432,2023-12-2
AUDI,A3,36,397,2023-12-2
NISSAN,LEAF,151,370,2023-12-2
MBENZ,CLASSE_A,6,63,2023-12-2
TOYOTA,COROLLA_GR,0,61,2023-12-2
HONDA,CIVIC_TYPE-R,4,51,2023-12-2
FIAT,CRONOS,6332,50755,2023-12-2
HYUNDAI,HB20S,3035,30281,2023-12-2
RENAULT,LOGAN,415,4559,2023-12-2
VW,VOYAGE,1,2074,2023-12-2
FIAT,SIENA,1,22,2023-12-2
GM,PRISMA,3,6,2023-12-2
TOYOTA,ETIOS_SEDAN,0,4,2023-12-2
FORD,KA_SEDAN,0,3,2023-12-2
CAOA_CHERY,CELER_SEDAN,0,2,2023-12-2
FORD,FIESTA_SEDAN,0,1,2023-12-2
GM,ONIX_PLUS,6375,74887,2023-12-2
VW,VIRTUS,3629,27094,2023-12-2
TOYOTA,YARIS_SEDAN,2702,20571,2023-12-2
HONDA,CITY,931,11841,2023-12-2
NISSAN,VERSA,1024,8858,2023-12-2
CAOA_CHERY,ARRIZO_5,0,3,2023-12-2
TOYOTA,COROLLA,4050,42923,2023-12-2
NISSAN,SENTRA,384,4146,2023-12-2
VW,JETTA,278,2230,2023-12-2
GM,CRUZE_SEDAN,175,1278,2023-12-2
BYD,SEAL,857,1040,2023-12-2
CAOA_CHERY,ARRIZO_6,19,969,2023-12-2
AUDI,A3_SEDAN,75,673,2023-12-2
AUDI,A5,40,559,2023-12-2
HONDA,CIVIC,19,475,2023-12-2
HYUNDAI,IONIQ,1,260,2023-12-2
BMW,420I,22,131,2023-12-2
MBENZ,CLA45,4,85,2023-12-2
JAC,E-J7,1,83,2023-12-2
BMW,218I,3,69,2023-12-2
MBENZ,CLA35,9,68,2023-12-2
KIA,CERATO,1,17,2023-12-2
TESLA,MODEL_3,0,16,2023-12-2
MBENZ,CLASSE_A,0,6,2023-12-2
BMW,430I,0,2,2023-12-2
LEXUS,IS_350,0,1,2023-12-2
MBENZ,CLASSE_C,0,1,2023-12-2
BMW,320I,434,4418,2023-12-2
MBENZ,CLASSE_C,200,865,2023-12-2
BMW,330E,15,568,2023-12-2
PORSCHE,PANAMERA,56,509,2023-12-2
AUDI,A4,53,348,2023-12-2
MBENZ,CLA250,0,222,2023-12-2
BMW,I4,9,155,2023-12-2
HONDA,ACCORD,52,104,2023-12-2
BMW,530E,9,96,2023-12-2
LEXUS,ES300,11,83,2023-12-2
BYD,HAN,6,78,2023-12-2
MBENZ,CLA200,45,76,2023-12-2
AUDI,RS6_AVANT,6,42,2023-12-2
GM,BOLT,2,46,2023-12-2
HONDA,FIT,3,6,2023-12-2
FIAT,DOBLO,0,3,2023-12-2
NISSAN,LIVINA,0,1,2023-12-2
RENAULT,KANGOO,0,1,2023-12-2
GM,SPIN,1814,20314,2023-12-2
BYD,D1,5,323,2023-12-2
KIA,CARNIVAL,0,25,2023-12-2
CHRYSLER,PACIFICA,1,18,2023-12-2
PORSCHE,911,126,1053,2023-12-2
FORD,MUSTANG,20,343,2023-12-2
PORSCHE,BOXSTER,57,326,2023-12-2
PORSCHE,TAYCAN,43,322,2023-12-2
BMW,M3,9,268,2023-12-2
PORSCHE,CAYMAN,17,221,2023-12-2
JAGUAR,F-TYPE,5,98,2023-12-2
BMW,M2,17,63,2023-12-2
GM,CORVETTE,4,59,2023-12-2
VW,T_CROSS,7792,72440,2023-12-2
GM,TRACKER,6769,66643,2023-12-2
HYUNDAI,CRETA,8579,65817,2023-12-2
JEEP,COMPASS,3937,59106,2023-12-2
VW,NIVUS,5646,52103,2023-12-2
NISSAN,KICKS,4820,50778,2023-12-2
HONDA,HR-V,4201,48054,2023-12-2
JEEP,RENEGADE,3234,47389,2023-12-2
FIAT,PULSE,4537,45808,2023-12-2
TOYOTA,COROLLA_CROSS,4389,42070,2023-12-2
FIAT,FASTBACK,3949,40402,2023-12-2
RENAULT,DUSTER,3175,26506,2023-12-2
JEEP,COMMANDER,1185,19874,2023-12-2
TOYOTA,HILUX_SW4,1922,16006,2023-12-2
VW,TAOS,1761,15986,2023-12-2
CAOA_CHERY,TIGGO_5X,2225,14400,2023-12-2
GWM,HAVAL_H6,2085,10704,2023-12-2
CAOA_CHERY,TIGGO_8,1155,9545,2023-12-2
BYD,SONG_PLUS,1883,7669,2023-12-2
CAOA_CHERY,TIGGO_7,676,6349,2023-12-2
VOLVO,XC60,499,4335,2023-12-2
GM,EQUINOX,360,4067,2023-12-2
MITSUBISHI,ECLIPSE_CROSS,655,3989,2023-12-2
BMW,X1,440,3983,2023-12-2
CITROEN,C4_CACTUS,260,3674,2023-12-2
AUDI,Q5,317,2175,2023-12-2
MITSUBISHI,PAJERO,240,2070,2023-12-2
VOLVO,XC40,316,1802,2023-12-2
BYD,YUAN_PLUS,475,1756,2023-12-2
PEUGEOT,2008,114,1728,2023-12-2
AUDI,Q3,241,1727,2023-12-2
LAND_ROVER,DISCOVERY,243,1714,2023-12-2
GM,TRAILBLAZER,89,1659,2023-12-2
PORSCHE,CAYENNE,35,1465,2023-12-2
FORD,TERRITORY,198,1323,2023-12-2
PORSCHE,MACAN,103,1308,2023-12-2
BMW,X5,227,1267,2023-12-2
VOLVO,XC90,134,1203,2023-12-2
BMW,X4,137,1187,2023-12-2
FORD,BRONCO,141,1156,2023-12-2
